ticker,original_name,current_name,change_detected
AMD,ADVANCED MICRO DEVICES INC,"Advanced Micro Devices, Inc.",2025-10-23
AVGO,BROADCOM INC,Broadcom Inc.,2025-10-23
NVDA,NVIDIA CORP,NVIDIA Corporation,2025-10-23
VRT,VERTIV HOLDINGS CLASS A,Vertiv Holdings Co,2025-10-23
SMCI,SUPER MICRO COMPUTER INC,"Super Micro Computer, Inc.",2025-10-23
MDB,MONGODB INC CLASS A,"MongoDB, Inc.",2025-10-23
GOOGL,ALPHABET INC CLASS A,Alphabet Inc.,2025-10-23
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Palantir Technologies Inc.,2025-10-23
PTC,PTC INC,PTC Inc.,2025-10-23
SNOW,SNOWFLAKE INC,Snowflake Inc.,2025-10-23
MSFT,MICROSOFT CORP,Microsoft Corporation,2025-10-23
ADSK,AUTODESK INC,"Autodesk, Inc.",2025-10-23
AMZN,AMAZON COM INC,"Amazon.com, Inc.",2025-10-23
CEG,CONSTELLATION ENERGY CORP,Constellation Energy Corporation,2025-10-23
META,META PLATFORMS INC CLASS A,"Meta Platforms, Inc.",2025-10-23
MRVL,MARVELL TECHNOLOGY INC,"Marvell Technology, Inc.",2025-10-23
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Cognizant Technology Solutions Corporation,2025-10-23
IBM,INTERNATIONAL BUSINESS MACHINES CO,International Business Machines Corporation,2025-10-23
ACN,ACCENTURE PLC CLASS A,Accenture plc,2025-10-23
BSY,BENTLEY SYSTEMS INC CLASS B,"Bentley Systems, Incorporated",2025-10-23
AMKR,AMKOR TECHNOLOGY INC,"Amkor Technology, Inc.",2025-10-23
EPAM,EPAM SYSTEMS INC,"EPAM Systems, Inc.",2025-10-23
ONTO,ONTO INNOVATION INC,Onto Innovation Inc.,2025-10-23
PATH,UIPATH INC CLASS A,UiPath Inc.,2025-10-23
ORCL,ORACLE CORP,Oracle Corporation,2025-10-23
NOW,SERVICENOW INC,"ServiceNow, Inc.",2025-10-23
QCOM,QUALCOMM INC,QUALCOMM Incorporated,2025-10-23
ADBE,ADOBE INC,Adobe Inc.,2025-10-23
PANW,PALO ALTO NETWORKS INC,"Palo Alto Networks, Inc.",2025-10-23
MU,MICRON TECHNOLOGY INC,"Micron Technology, Inc.",2025-10-23
INTC,INTEL CORPORATION CORP,Intel Corporation,2025-10-23
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,"CrowdStrike Holdings, Inc.",2025-10-23
NET,CLOUDFLARE INC CLASS A,"Cloudflare, Inc.",2025-10-23
FTNT,FORTINET INC,"Fortinet, Inc.",2025-10-23
ZS,ZSCALER INC,"Zscaler, Inc.",2025-10-23
OKTA,OKTA INC CLASS A,"Okta, Inc.",2025-10-23
S,SENTINELONE INC CLASS A,"SentinelOne, Inc.",2025-10-23
